Dataset					CONVNETQUAKE-10	CONVNETQUAKE-20	CONVNETQUAKE-30	CONVNETQUAKE-40	CONVNETQUAKE-50	CONVNETQUAKE-60	UPC-UCV-10	UPC-UCV-20	UPC-UCV-30	UPC-UCV-40	UPC-UCV-50	UPC-UCV-60
"medium-sized"		73.6842105263	78.4810126582	79.3103448276	88.275862069	90.6077348066	79.8122065728	63.6363636364	86.8421052632	91.4285714286	91.3043478261	93.4782608696	90.1960784314	
"all"		45.5445544554	60.8695652174	53.0303030303	63.2152588556	57.2115384615	62.3742454728	52.7472527473	51.4285714286	69.9551569507	70.5167173252	66.3461538462	70.715835141		
"small-sized"		37.2093023256	39.5348837209	45.6692913386	46.6666666667	39.0	42.5196850394	48.4848484848	41.1764705882	51.3274336283	55.3191489362	58.6387434555	59.2920353982	
